PA,AgeGroup,Time,TotalPop
Orchard,30 to 39,2023,120
Orchard,40 to 49,2023,180
Orchard,50 to 59,2023,120
Orchard,60 to 69,2023,110
Orchard,70 to 79,2023,50
Orchard,80 to 89,2023,0
Orchard,90 and Over,2023,0
Outram,0 to 9,2023,990
Outram,10 to 19,2023,1330
Outram,20 to 29,2023,1470
Outram,30 to 39,2023,2090
Outram,40 to 49,2023,2700
Outram,50 to 59,2023,2480
Outram,60 to 69,2023,2780
Outram,70 to 79,2023,2160
Outram,80 to 89,2023,960
Outram,90 and Over,2023,330
Pasir Ris,0 to 9,2023,11940
Pasir Ris,10 to 19,2023,15380
Pasir Ris,20 to 29,2023,23700
Pasir Ris,30 to 39,2023,19690
Pasir Ris,40 to 49,2023,19540
Pasir Ris,50 to 59,2023,24930
Pasir Ris,60 to 69,2023,20470
Pasir Ris,70 to 79,2023,8380
Pasir Ris,80 to 89,2023,2870
Pasir Ris,90 and Over,2023,620
Paya Lebar,0 to 9,2023,0
Paya Lebar,10 to 19,2023,0
Paya Lebar,20 to 29,2023,0
Paya Lebar,30 to 39,2023,0
Paya Lebar,40 to 49,2023,0
Paya Lebar,50 to 59,2023,0
Paya Lebar,60 to 69,2023,0
Paya Lebar,70 to 79,2023,0
Paya Lebar,80 to 89,2023,0
Paya Lebar,90 and Over,2023,0
Pioneer,0 to 9,2023,0
Pioneer,10 to 19,2023,0
Pioneer,20 to 29,2023,0
Pioneer,30 to 39,2023,0
Pioneer,40 to 49,2023,0
Pioneer,50 to 59,2023,0
Pioneer,60 to 69,2023,0
Pioneer,70 to 79,2023,0
Pioneer,80 to 89,2023,0
Pioneer,90 and Over,2023,0
Punggol,0 to 9,2023,29420
Punggol,10 to 19,2023,24190
Punggol,20 to 29,2023,17990
Punggol,30 to 39,2023,37390
Punggol,40 to 49,2023,37980
Punggol,50 to 59,2023,22600
Punggol,60 to 69,2023,14490
Punggol,70 to 79,2023,8360
Punggol,80 to 89,2023,2380
Punggol,90 and Over,2023,380
Queenstown,0 to 9,2023,7830
Queenstown,10 to 19,2023,8670
Queenstown,20 to 29,2023,10610
Queenstown,30 to 39,2023,14480
Queenstown,40 to 49,2023,15160
Queenstown,50 to 59,2023,14420
Queenstown,60 to 69,2023,12560
Queenstown,70 to 79,2023,9760
Queenstown,80 to 89,2023,5300
Queenstown,90 and Over,2023,1100
River Valley,0 to 9,2023,1260
River Valley,10 to 19,2023,1310
River Valley,20 to 29,2023,1140
River Valley,30 to 39,2023,1730
River Valley,40 to 49,2023,2470
River Valley,50 to 59,2023,1930
River Valley,60 to 69,2023,1180
River Valley,70 to 79,2023,760
River Valley,80 to 89,2023,180
River Valley,90 and Over,2023,60
Rochor,0 to 9,2023,780
Rochor,10 to 19,2023,970
Rochor,20 to 29,2023,1320
Rochor,30 to 39,2023,1980
Rochor,40 to 49,2023,2120
Rochor,50 to 59,2023,1900
Rochor,60 to 69,2023,1810
Rochor,70 to 79,2023,1410
Rochor,80 to 89,2023,590
Rochor,90 and Over,2023,200
Seletar,0 to 9,2023,0
Seletar,10 to 19,2023,30
Seletar,20 to 29,2023,10
Seletar,30 to 39,2023,0
Seletar,40 to 49,2023,40
Seletar,50 to 59,2023,70
Seletar,60 to 69,2023,10
Seletar,70 to 79,2023,0
Seletar,80 to 89,2023,0
Seletar,90 and Over,2023,0
Sembawang,0 to 9,2023,13030
Sembawang,10 to 19,2023,12600
Sembawang,20 to 29,2023,13900
Sembawang,30 to 39,2023,18850
Sembawang,40 to 49,2023,17740
Sembawang,50 to 59,2023,15770
Sembawang,60 to 69,2023,11010
Sembawang,70 to 79,2023,4840
Sembawang,80 to 89,2023,1590
Sembawang,90 and Over,2023,310
Sengkang,0 to 9,2023,30060
Sengkang,10 to 19,2023,31170
Sengkang,20 to 29,2023,29290
Sengkang,30 to 39,2023,42950
Sengkang,40 to 49,2023,45610
Sengkang,50 to 59,2023,34140
Sengkang,60 to 69,2023,27160
Sengkang,70 to 79,2023,13280
Sengkang,80 to 89,2023,3970
Sengkang,90 and Over,2023,730
Serangoon,0 to 9,2023,8410
Serangoon,10 to 19,2023,10950
Serangoon,20 to 29,2023,15090
Serangoon,30 to 39,2023,16760
Serangoon,40 to 49,2023,15420
Serangoon,50 to 59,2023,16930
Serangoon,60 to 69,2023,18830
Serangoon,70 to 79,2023,11530
Serangoon,80 to 89,2023,4290
Serangoon,90 and Over,2023,930
Simpang,0 to 9,2023,0
Simpang,10 to 19,2023,0
Simpang,20 to 29,2023,0
Simpang,30 to 39,2023,0
Simpang,40 to 49,2023,0
Simpang,50 to 59,2023,0
Simpang,60 to 69,2023,0
Simpang,70 to 79,2023,0
Simpang,80 to 89,2023,0
Simpang,90 and Over,2023,0
Singapore River,0 to 9,2023,510
Singapore River,10 to 19,2023,390
Singapore River,20 to 29,2023,270
Singapore River,30 to 39,2023,620
Singapore River,40 to 49,2023,930
Singapore River,50 to 59,2023,550
Singapore River,60 to 69,2023,310
Singapore River,70 to 79,2023,140
Singapore River,80 to 89,2023,20
Singapore River,90 and Over,2023,0
Southern Islands,0 to 9,2023,290
Southern Islands,10 to 19,2023,290
Southern Islands,20 to 29,2023,190
Southern Islands,30 to 39,2023,270
Southern Islands,40 to 49,2023,470
Southern Islands,50 to 59,2023,530
Southern Islands,60 to 69,2023,260
Southern Islands,70 to 79,2023,80
Southern Islands,80 to 89,2023,10
Southern Islands,90 and Over,2023,0
Straits View,0 to 9,2023,0
Straits View,10 to 19,2023,0
Straits View,20 to 29,2023,0
Straits View,30 to 39,2023,0
Straits View,40 to 49,2023,0
Straits View,50 to 59,2023,0
Straits View,60 to 69,2023,0
Straits View,70 to 79,2023,0
Straits View,80 to 89,2023,0
Straits View,90 and Over,2023,0
Sungei Kadut,0 to 9,2023,20
Sungei Kadut,10 to 19,2023,30
Sungei Kadut,20 to 29,2023,100
Sungei Kadut,30 to 39,2023,50
Sungei Kadut,40 to 49,2023,50
Sungei Kadut,50 to 59,2023,110
Sungei Kadut,60 to 69,2023,120
Sungei Kadut,70 to 79,2023,60
Sungei Kadut,80 to 89,2023,10
Sungei Kadut,90 and Over,2023,0
Tampines,0 to 9,2023,26810
Tampines,10 to 19,2023,24590
Tampines,20 to 29,2023,35770
Tampines,30 to 39,2023,45700
Tampines,40 to 49,2023,35430
Tampines,50 to 59,2023,37280
Tampines,60 to 69,2023,41250
Tampines,70 to 79,2023,20460
Tampines,80 to 89,2023,6260
Tampines,90 and Over,2023,1220
Tanglin,0 to 9,2023,2780
Tanglin,10 to 19,2023,2760
Tanglin,20 to 29,2023,2230
Tanglin,30 to 39,2023,3250
Tanglin,40 to 49,2023,4340
Tanglin,50 to 59,2023,3640
Tanglin,60 to 69,2023,2550
Tanglin,70 to 79,2023,1790
Tanglin,80 to 89,2023,700
Tanglin,90 and Over,2023,160
Tengah,0 to 9,2023,0
Tengah,10 to 19,2023,0
Tengah,20 to 29,2023,0
Tengah,30 to 39,2023,0
Tengah,40 to 49,2023,0
Tengah,50 to 59,2023,0
Tengah,60 to 69,2023,0
Tengah,70 to 79,2023,0
Tengah,80 to 89,2023,0
Tengah,90 and Over,2023,0
Toa Payoh,0 to 9,2023,11780
Toa Payoh,10 to 19,2023,11420
Toa Payoh,20 to 29,2023,14080
Toa Payoh,30 to 39,2023,21860
Toa Payoh,40 to 49,2023,18870
Toa Payoh,50 to 59,2023,18770
Toa Payoh,60 to 69,2023,18440
Toa Payoh,70 to 79,2023,12830
Toa Payoh,80 to 89,2023,6270
Toa Payoh,90 and Over,2023,1260
Tuas,0 to 9,2023,0
Tuas,10 to 19,2023,0
Tuas,20 to 29,2023,0
Tuas,30 to 39,2023,0
Tuas,40 to 49,2023,0
Tuas,50 to 59,2023,0
Tuas,60 to 69,2023,0
Tuas,70 to 79,2023,0
Tuas,80 to 89,2023,0
Tuas,90 and Over,2023,0
Western Islands,0 to 9,2023,0
Western Islands,10 to 19,2023,0
Western Islands,20 to 29,2023,0
Western Islands,30 to 39,2023,0
Western Islands,40 to 49,2023,0
Western Islands,50 to 59,2023,0
Western Islands,60 to 69,2023,0
Western Islands,70 to 79,2023,0
Western Islands,80 to 89,2023,0
Western Islands,90 and Over,2023,0
Western Water Catchment,0 to 9,2023,80
Western Water Catchment,10 to 19,2023,30
Western Water Catchment,20 to 29,2023,110
Western Water Catchment,30 to 39,2023,60
Western Water Catchment,40 to 49,2023,150
Western Water Catchment,50 to 59,2023,40
Western Water Catchment,60 to 69,2023,50
Western Water Catchment,70 to 79,2023,0
Western Water Catchment,80 to 89,2023,0
Western Water Catchment,90 and Over,2023,0
Woodlands,0 to 9,2023,22930
Woodlands,10 to 19,2023,28480
Woodlands,20 to 29,2023,41350
Woodlands,30 to 39,2023,36630
Woodlands,40 to 49,2023,35460
Woodlands,50 to 59,2023,41680
Woodlands,60 to 69,2023,31140
Woodlands,70 to 79,2023,13240
Woodlands,80 to 89,2023,4220
Woodlands,90 and Over,2023,660
Yishun,0 to 9,2023,22580
Yishun,10 to 19,2023,22670
Yishun,20 to 29,2023,28020
Yishun,30 to 39,2023,37750
Yishun,40 to 49,2023,33440
Yishun,50 to 59,2023,32330
Yishun,60 to 69,2023,31700
Yishun,70 to 79,2023,15570
Yishun,80 to 89,2023,4780
Yishun,90 and Over,2023,850
